# LNF 面波速度拾取结果  20260527_173436
# dt=0.00025 s  dx=3.0 m
#   #     X0(m)     T0(s)     X1(m)     T1(s)      V(m/s)    |V|(m/s)
    1      87.5    0.0039      69.7    0.2799      -64.20       64.20
    2      63.4    0.0594      60.5    0.0666     -397.58      397.58
    3      51.6    0.0944      45.0    0.1124     -364.91      364.91
    4      44.8    0.1128      43.2    0.1159     -506.01      506.01
    5      27.8    0.1474      23.7    0.1565     -457.35      457.35
    6      86.3    0.0018      83.7    0.0084     -399.48      399.48
    7      78.1    0.0216      65.4    0.0517     -418.76      418.76
    8      64.0    0.0552      59.1    0.0673     -404.81      404.81
    9      58.3    0.0691      -0.4    0.2400     -342.81      342.81

# 统计：最小=64.2  最大=506.0  均值=372.9  中位数=399.5 m/s
